Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,Wine Type
13.84,1.8,2.48,17.41,99.89,2.95,3.0,0.3,1.99,6.03,1.08,3.41,1568.53,One
13.6,1.61,2.45,17.88,112.39,2.57,3.14,0.28,1.87,4.63,1.05,3.15,1474.09,One
13.92,2.2,2.54,18.4,114.75,3.1,3.2,0.32,2.15,4.86,1.04,3.1,1307.37,One
13.86,1.81,2.29,18.29,108.68,2.88,2.82,0.28,2.12,5.69,1.08,3.13,1413.21,One
13.69,1.66,2.32,19.14,107.58,2.83,2.74,0.33,2.12,5.84,1.06,3.66,1526.23,One
13.47,1.73,2.45,16.36,104.39,3.02,2.94,0.27,1.84,5.49,1.02,3.07,1457.35,One
13.47,2.26,2.43,16.39,94.83,2.85,3.17,0.32,2.05,5.05,1.11,2.92,1304.88,One
13.84,2.29,2.29,19.57,105.97,2.79,2.97,0.32,1.87,5.42,1.03,3.3,1441.39,One
13.63,2.79,2.51,17.45,103.16,2.68,3.04,0.31,1.7,5.35,1.08,3.37,1434.21,One
13.74,1.51,2.46,16.33,95.29,2.8,2.79,0.32,1.71,5.41,1.13,3.52,1172.18,One
13.21,1.97,2.35,17.36,106.06,3.0,2.68,0.25,1.9,5.34,1.07,3.41,1463.71,One
13.7,1.77,2.39,14.57,100.05,2.93,3.03,0.22,1.97,6.05,1.02,3.01,1553.0,One
14.0,2.04,2.53,19.28,101.82,3.18,2.52,0.24,1.82,5.32,1.05,3.45,1436.74,One
13.82,1.73,2.51,16.85,107.25,2.94,3.1,0.32,1.78,7.83,1.13,3.04,1656.19,One
13.89,1.9,2.32,17.57,105.32,3.02,3.47,0.25,2.05,5.13,1.02,3.05,1566.76,One
13.68,1.18,2.64,17.19,104.56,2.92,2.9,0.31,1.61,6.25,1.03,3.01,1451.31,One
13.53,1.85,2.44,15.84,100.78,2.57,2.99,0.28,2.06,5.39,1.09,3.24,1298.28,One
13.67,1.85,2.47,17.08,104.15,2.64,2.94,0.26,1.75,5.13,1.07,2.86,1541.23,One
13.53,2.03,2.48,16.38,111.18,2.98,3.07,0.22,1.73,6.26,1.07,3.4,1318.95,One
13.79,1.54,2.45,14.26,107.23,2.68,2.84,0.29,1.89,5.56,1.2,3.48,1478.9,One
13.64,1.46,2.58,17.54,110.74,2.92,2.8,0.35,1.72,5.09,1.13,3.38,1608.73,One
13.91,1.23,2.29,16.46,110.2,2.74,2.94,0.24,1.37,5.53,1.14,2.92,1479.19,One
13.57,2.01,2.41,17.95,115.43,2.76,2.86,0.33,2.02,5.69,1.06,3.05,1560.58,One
13.4,1.94,2.42,16.74,103.42,2.73,3.08,0.27,2.0,5.64,1.08,2.86,1345.21,One
14.04,1.85,2.41,18.27,107.42,2.74,2.5,0.31,2.07,5.5,1.03,3.02,1408.31,One
13.7,1.74,2.66,15.35,107.07,3.14,2.91,0.24,1.68,4.84,1.07,3.09,1263.7,One
13.73,2.16,2.54,17.53,104.31,2.77,3.02,0.27,1.91,4.83,1.03,2.87,1534.29,One
13.58,2.29,2.73,17.84,100.7,2.9,3.23,0.29,1.81,4.75,1.07,3.3,1267.18,One
13.76,1.53,2.45,17.39,108.27,2.87,2.99,0.28,1.89,5.45,1.15,3.3,1360.47,One
13.64,2.54,2.57,16.43,96.95,3.02,2.87,0.26,1.77,5.12,1.11,3.04,1723.69,One
13.77,1.99,2.42,18.6,99.16,2.64,3.1,0.29,1.96,5.78,1.13,3.27,1551.89,One
13.53,2.36,2.41,19.32,112.46,2.76,3.22,0.27,2.32,4.52,0.94,3.25,1499.85,One
13.49,2.35,2.63,16.9,95.34,3.04,2.8,0.27,1.9,4.97,1.07,2.95,1442.58,One
14.03,2.08,2.46,15.78,97.75,2.95,2.94,0.33,1.63,4.69,1.09,2.9,1363.69,One
13.44,2.39,2.54,15.95,111.28,2.58,3.23,0.26,1.84,5.77,0.91,3.38,1556.72,One
13.83,1.86,2.56,19.28,107.88,2.76,2.89,0.26,2.09,5.38,1.11,2.83,1348.19,One
13.52,2.1,2.39,16.38,105.04,3.01,3.15,0.28,1.83,6.33,1.04,3.19,1372.64,One
13.54,2.31,2.65,17.36,101.96,2.7,3.08,0.3,2.07,5.87,0.98,3.52,1600.82,One
13.7,2.32,2.37,16.19,110.83,2.79,3.32,0.3,1.93,6.17,1.05,3.19,1612.22,One
14.07,1.88,2.38,17.42,110.66,2.81,2.91,0.27,2.03,5.01,1.09,3.14,1523.71,One
13.82,1.64,2.44,16.83,92.28,2.79,2.86,0.29,2.05,5.97,0.98,3.11,1625.56,One
13.44,2.17,2.52,15.88,109.99,2.76,2.72,0.27,2.05,5.56,1.09,3.0,1447.69,One
14.03,1.82,2.59,16.85,103.87,2.95,2.91,0.28,1.81,5.82,1.01,3.0,1419.58,One
13.97,2.4,2.46,15.07,103.36,2.75,3.24,0.26,2.49,5.64,1.03,3.45,1468.11,One
13.69,1.82,2.46,14.98,104.41,3.02,3.01,0.3,1.83,4.84,0.9,2.98,1439.44,One
13.68,1.45,2.5,18.27,109.68,2.92,3.13,0.25,2.03,5.27,1.06,2.97,1546.77,One
13.81,1.55,2.47,18.9,105.12,2.82,2.98,0.34,1.75,5.01,1.13,3.08,1555.51,One
13.73,1.8,2.27,17.59,117.84,2.86,3.16,0.27,1.99,5.91,1.03,3.02,1349.59,One
13.58,2.25,2.54,14.77,104.86,2.75,3.19,0.31,2.1,5.89,0.96,3.12,1470.34,One
13.57,1.98,2.67,14.51,110.45,2.85,2.87,0.26,1.55,5.9,1.12,3.08,1703.89,One
14.02,1.95,2.41,17.21,113.31,2.59,3.13,0.29,1.94,5.84,1.09,3.0,1508.99,One
13.75,1.66,2.29,18.68,105.77,2.67,3.1,0.23,1.28,3.94,1.01,3.34,1367.47,One
13.62,2.2,2.38,15.55,105.97,2.89,2.83,0.24,1.55,5.72,1.04,2.86,1363.11,One
13.51,2.23,2.51,16.89,107.65,2.9,3.02,0.32,2.42,5.6,0.95,3.25,1355.55,One
13.46,2.27,2.37,17.2,104.52,3.03,2.72,0.29,1.71,5.72,1.14,3.12,1515.09,One
13.59,2.1,2.25,16.96,102.82,2.9,3.36,0.28,2.06,4.89,1.09,3.46,1550.46,One
13.67,2.2,2.28,14.51,110.74,2.78,2.96,0.33,1.93,5.6,1.09,3.08,1323.86,One
13.66,2.25,2.41,15.25,113.21,3.03,2.89,0.3,2.11,5.75,1.1,3.35,1498.21,One
13.6,2.31,2.35,16.28,101.93,2.87,2.84,0.25,1.36,4.49,1.02,3.53,1389.53,One
13.7,1.91,2.5,16.74,97.22,2.97,2.83,0.26,1.55,5.66,1.04,3.35,1519.41,One
13.72,2.15,2.6,20.16,110.21,2.65,2.86,0.38,2.06,5.73,1.02,3.18,1471.09,One
13.75,1.79,2.55,17.07,110.83,2.72,2.8,0.3,1.93,5.74,1.01,3.36,1486.2,One
13.75,1.97,2.61,16.2,108.32,2.9,2.73,0.3,1.82,5.48,1.09,3.27,1447.17,One
13.62,2.57,2.26,17.66,100.87,2.86,3.22,0.24,1.76,5.22,1.02,2.81,1358.41,One
13.53,2.2,2.33,14.64,102.84,2.61,2.94,0.23,2.01,5.24,1.0,3.46,1527.7,One
13.62,1.85,2.43,17.87,116.15,2.52,3.22,0.23,1.68,5.8,1.06,3.09,1492.12,One
13.54,1.12,2.32,15.98,115.98,2.86,3.41,0.28,2.24,5.93,1.0,2.95,1609.56,One
13.85,2.07,2.49,17.86,104.72,2.92,2.95,0.37,2.04,5.16,0.99,3.27,1465.95,One
13.97,2.19,2.38,16.46,105.45,2.77,2.92,0.27,2.13,5.21,1.07,2.96,1559.27,One
13.47,1.79,2.46,18.92,103.99,2.52,2.98,0.26,1.4,4.39,1.08,2.97,1550.64,One
13.88,2.27,2.36,16.42,97.97,2.53,2.79,0.24,2.0,5.91,1.17,3.13,1577.85,One
13.73,1.34,2.44,17.09,105.9,2.61,2.87,0.34,1.83,5.78,1.08,3.19,1515.91,One
13.57,2.34,2.52,16.26,102.44,3.03,3.09,0.22,2.01,6.2,0.87,2.9,1431.62,One
13.75,2.49,2.48,18.82,106.69,2.84,2.86,0.29,1.97,6.2,1.01,3.36,1372.98,One
13.66,1.47,2.16,16.13,109.04,2.6,2.84,0.35,2.27,5.71,0.96,3.23,1378.99,One
13.6,1.82,2.4,18.37,103.56,2.91,2.99,0.28,1.81,7.08,1.0,3.24,1521.55,One
13.61,2.15,2.42,18.36,106.08,2.78,2.96,0.33,1.93,5.97,1.12,2.86,1534.62,One
13.58,2.52,2.39,17.85,120.52,2.86,3.0,0.27,1.89,4.68,1.1,3.14,1464.5,One
13.64,1.88,2.32,15.6,118.7,2.74,3.17,0.28,1.97,5.61,1.07,2.96,1569.8,One
13.79,2.0,2.54,16.88,104.59,2.66,2.78,0.22,1.59,5.89,1.21,3.24,1348.67,One
13.76,2.01,2.41,17.47,108.08,2.59,2.98,0.29,2.24,6.47,1.06,3.1,1433.09,One
13.66,2.01,2.35,17.18,101.19,2.73,2.94,0.33,1.7,4.44,1.08,3.23,1487.37,One
